"lats","lons"
-29.25,-9.75
-29.25,-9
-29.25,-8.25
-29.25,-7.5
-29.25,-6.75
-29.25,-6
-29.25,-5.25
-29.25,-4.5
-29.25,-3.75
-29.25,-3
-29.25,-2.25
-29.25,-1.5
-29.25,-0.75
-29.25,0
-29.25,0.75
-29.25,1.5
-29.25,2.25
-29.25,3
-29.25,3.75
-29.25,4.5
-29.25,5.25
-29.25,6
-29.25,6.75
-29.25,7.5
-29.25,8.25
-29.25,9
-29.25,9.75
-29.25,10.5
-29.25,11.25
-29.25,12
-29.25,12.75
-29.25,13.5
-29.25,14.25
-29.25,15
-29.25,15.75
-29.25,16.5
-29.25,17.25
-29.25,18
-29.25,18.75
-29.25,19.5
-29.25,20.25
-29.25,21
-29.25,21.75
-29.25,22.5
-29.25,23.25
-29.25,24
-29.25,24.75
-29.25,25.5
-29.25,26.25
-29.25,27
-29.25,27.75
-29.25,28.5
-29.25,29.25
-29.25,30
-28.5,-9.75
-28.5,-9
-28.5,-8.25
-28.5,-7.5
-28.5,-6.75
-28.5,-6
-28.5,-5.25
-28.5,-4.5
-28.5,-3.75
-28.5,-3
-28.5,-2.25
-28.5,-1.5
-28.5,-0.75
-28.5,0
-28.5,0.75
-28.5,1.5
-28.5,2.25
-28.5,3
-28.5,3.75
-28.5,4.5
-28.5,5.25
-28.5,6
-28.5,6.75
-28.5,7.5
-28.5,8.25
-28.5,9
-28.5,9.75
-28.5,10.5
-28.5,11.25
-28.5,12
-28.5,12.75
-28.5,13.5
-28.5,14.25
-28.5,15
-28.5,15.75
-28.5,16.5
-28.5,17.25
-28.5,18
-28.5,18.75
-28.5,19.5
-28.5,20.25
-28.5,21
-28.5,21.75
-28.5,22.5
-28.5,23.25
-28.5,24
-28.5,24.75
-28.5,25.5
-28.5,26.25
-28.5,27
-28.5,27.75
-28.5,28.5
-28.5,29.25
-28.5,30
-27.75,-9.75
-27.75,-9
-27.75,-8.25
-27.75,-7.5
-27.75,-6.75
-27.75,-6
-27.75,-5.25
-27.75,-4.5
-27.75,-3.75
-27.75,-3
-27.75,-2.25
-27.75,-1.5
-27.75,-0.75
-27.75,0
-27.75,0.75
-27.75,1.5
-27.75,2.25
-27.75,3
-27.75,3.75
-27.75,4.5
-27.75,5.25
-27.75,6
-27.75,6.75
-27.75,7.5
-27.75,8.25
-27.75,9
-27.75,9.75
-27.75,10.5
-27.75,11.25
-27.75,12
-27.75,12.75
-27.75,13.5
-27.75,14.25
-27.75,15
-27.75,15.75
-27.75,16.5
-27.75,17.25
-27.75,18
-27.75,18.75
-27.75,19.5
-27.75,20.25
-27.75,21
-27.75,21.75
-27.75,22.5
-27.75,23.25
-27.75,24
-27.75,24.75
-27.75,25.5
-27.75,26.25
-27.75,27
-27.75,27.75
-27.75,28.5
-27.75,29.25
-27.75,30
-27,-9.75
-27,-9
-27,-8.25
-27,-7.5
-27,-6.75
-27,-6
-27,-5.25
-27,-4.5
-27,-3.75
-27,-3
-27,-2.25
-27,-1.5
-27,-0.75
-27,0
-27,0.75
-27,1.5
-27,2.25
-27,3
-27,3.75
-27,4.5
-27,5.25
-27,6
-27,6.75
-27,7.5
-27,8.25
-27,9
-27,9.75
-27,10.5
-27,11.25
-27,12
-27,12.75
-27,13.5
-27,14.25
-27,15
-27,15.75
-27,16.5
-27,17.25
-27,18
-27,18.75
-27,19.5
-27,20.25
-27,21
-27,21.75
-27,22.5
-27,23.25
-27,24
-27,24.75
-27,25.5
-27,26.25
-27,27
-27,27.75
-27,28.5
-27,29.25
-27,30
-26.25,-9.75
-26.25,-9
-26.25,-8.25
-26.25,-7.5
-26.25,-6.75
-26.25,-6
-26.25,-5.25
-26.25,-4.5
-26.25,-3.75
-26.25,-3
-26.25,-2.25
-26.25,-1.5
-26.25,-0.75
-26.25,0
-26.25,0.75
-26.25,1.5
-26.25,2.25
-26.25,3
-26.25,3.75
-26.25,4.5
-26.25,5.25
-26.25,6
-26.25,6.75
